idcliente,municipio
C1409,CHAPELTIQUE
C1410,GUATAJIAGUA
C1411,CHAPELTIQUE
C1412,GUATAJIAGUA
C1413,GUATAJIAGUA
C1414,CHAPELTIQUE
C1415,CHAPELTIQUE
C1416,CHAPELTIQUE
C1417,CHAPELTIQUE
C1418,CHAPELTIQUE
C1419,CHAPELTIQUE
C1420,CHAPELTIQUE
C1421,CHAPELTIQUE
C1422,CHAPELTIQUE
C1423,CHAPELTIQUE
0H,CHAPELTIQUE
P19,SAN MIGUEL
C1425,CHAPELTIQUE
C1426,CHAPELTIQUE
C1427,CHAPELTIQUE
C1428,CHAPELTIQUE
C1429,CHAPELTIQUE
C1430,CHAPELTIQUE
C1431,CHAPELTIQUE
C1432,CHAPELTIQUE
C1433,CHAPELTIQUE
C1434,CHAPELTIQUE
0J,CHAPELTIQUE
C1436,CHAPELTIQUE
C1437,CHAPELTIQUE
C1438,CHAPELTIQUE
C1439,CHAPELTIQUE
C1440,CHAPELTIQUE
C1441,CHAPELTIQUE
C1442,CHAPELTIQUE
C1443,CHAPELTIQUE
C1444,CHAPELTIQUE
C1445,CHAPELTIQUE
C1446,CHAPELTIQUE
C1447,CHAPELTIQUE
C1448,CHAPELTIQUE
C1449,CHAPELTIQUE
C1450,CHAPELTIQUE
C1451,CHAPELTIQUE
C1452,CHAPELTIQUE
C1453,CHAPELTIQUE
C1454,CHAPELTIQUE
C1455,CHAPELTIQUE
C1456,CHAPELTIQUE
C1457,CHAPELTIQUE
C1458,CHAPELTIQUE
C1459,CHAPELTIQUE
C1460,CHAPELTIQUE
C1461,GUATAJIAGUA
C1462,CHAPELTIQUE
C1463,CHAPELTIQUE
C1464,CHAPELTIQUE
C1465,CHAPELTIQUE
C1466,CHAPELTIQUE
C1467,CHAPELTIQUE
C1468,CHAPELTIQUE
C1469,CHAPELTIQUE
C1470,GUATAJIAGUA
C1471,CHAPELTIQUE
C1472,CHAPELTIQUE
C1473,CHAPELTIQUE
C1474,503013013
C1475,CHAPELTIQUE
C1476,CHAPELTIQUE
C1477,SESORI
C1478,CHAPELTIQUE
0JJK,CHAPELTIQUE
C1480,CHAPELTIQUE
C1481,CHAPELTIQUE
C1482,CHAPELTIQUE
C1483,CHAPELTIQUE
C1484,CHAPELTIQUE
C1485,CHAPELTIQUE
C1486,CHAPELTIQUE
C1487,CHAPELTIQUE
C1488,SESORI
C1489,CHAPELTIQUE
C1490,GUATAJIAGUA
C1491,CHAPELTIQUE
C1492,CHAPELTIQUE
C1493,CHAPELTIQUE
C1494,GUATAJIAGUA
C1495,CHAPELTIQUE
C1496,CHAPELTIQUE
C1497,CHAPELTIQUE
C1498,CHAPELTIQUE
C1499,CHAPELTIQUE
C1500,CHAPELTIQUE
C1501,CHAPELTIQUE
C1502,CHAPELTIQUE
C1503,CHAPELTIQUE
C1504,CHAPELTIQUE
C1505,CHAPELTIQUE
C1506,CHAPELTIQUE
C1507,CHAPELTIQUE
C1508,CHAPELTIQUE
C1509,CHAPELTIQUE
C1510,CHAPELTIQUE
C1511,CHAPELTIQUE
C1512,GUATAJIAGUA
P20,CHAPELTIQUE
C1513,CHAPELTIQUE
C1514,CHAPELTIQUE
C1515,CHAPELTIQUE
C1516,CHAPELTIQUE
C1517,CHAPELTIQUE
C1518,CHAPELTIQUE
C1519,CHAPELTIQUE
C1520,CHAPELTIQUE
C1521,CHAPELTIQUE
C1522,CHAPELTIQUE
C1523,GUATAJIAGUA
C1524,CHAPELTIQUE
C1525,CHAPELTIQUE
C1526,CHAPELTIQUE
C1527,CHAPELTIQUE
C1528,CHAPELTIQUE
C1529,CHAPELTIQUE
C1530,CHAPELTIQUE
C1531,CHAPELTIQUE
C1532,CHAPELTIQUE
C1533,CHAPELTIQUE
C1534,CHAPELTIQUE
C1535,CHAPELTIQUE
C1536,CHAPELTIQUE
C1537,GUATAJIAGUA
C1538,CHAPELTIQUE
C1539,CHAPELTIQUE
C1540,CHAPELTIQUE
C1541,CHAPELTIQUE
C1542,CHAPELTIQUE
C1543,CHAPELTIQUE
C1544,CHAPELTIQUE
C1545,MONCAGUA
C1546,GUATAJIAGUA
C1547,CHAPELTIQUE
C1548,CHAPELTIQUE
C1549,CHAPELTIQUE
C1550,CHAPELTIQUE
C1551,CHAPELTIQUE
C1552,CHAPELTIQUE
P21,CHAPELTIQUE
